"Indicator","PUBLISH STATES","Year","WHO region","Country","Sex","Display Value","Numeric","Low","High","Comments"
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Europe","Cyprus","Male","96","95.77841","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Europe","Cyprus","Female","43","43.03640","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Europe","Cyprus","Both sexes","70","69.98062","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Europe","Cyprus","Male","94","93.99963","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Europe","Cyprus","Female","48","47.69865","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Europe","Cyprus","Both sexes","71","71.30418","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Europe","Cyprus","Male","88","88.09911","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Europe","Cyprus","Female","50","49.62945","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Europe","Cyprus","Both sexes","69","69.19129","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Europe","Cyprus","Male","99","98.84499","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Europe","Cyprus","Female","48","48.00049","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Europe","Cyprus","Both sexes","74","73.96384","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Europe","Cyprus","Male","97","96.99653","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Europe","Cyprus","Female","52","52.19317","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Europe","Cyprus","Both sexes","75","75.00707","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Europe","Cyprus","Male","81","81.18120","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Europe","Cyprus","Female","47","47.16204","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Europe","Cyprus","Both sexes","64","64.46631","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Europe","Cyprus","Male","98","97.61443","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Europe","Cyprus","Female","41","41.01416","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Europe","Cyprus","Both sexes","70","69.83889","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Europe","Cyprus","Male","87","87.00425","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Europe","Cyprus","Female","48","48.32458","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Europe","Cyprus","Both sexes","68","67.98061","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Europe","Cyprus","Male","93","93.10818","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Europe","Cyprus","Female","42","42.34406","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Europe","Cyprus","Both sexes","68","68.16199","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Europe","Cyprus","Male","87","86.86954","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Europe","Cyprus","Female","43","42.86572","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Europe","Cyprus","Both sexes","65","65.01321","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Europe","Cyprus","Male","74","74.34830","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Europe","Cyprus","Female","42","42.01918","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Europe","Cyprus","Both sexes","58","58.28235","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Europe","Cyprus","Male","73","73.43419","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Europe","Cyprus","Female","36","35.81449","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Europe","Cyprus","Both sexes","55","54.73293","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Europe","Cyprus","Male","81","80.88206","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Europe","Cyprus","Female","35","35.10494","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Europe","Cyprus","Both sexes","58","58.15392","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Europe","Cyprus","Male","79","78.53300","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Europe","Cyprus","Female","44","43.97099","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Europe","Cyprus","Both sexes","61","61.31712","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Europe","Cyprus","Male","75","74.98000","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Europe","Cyprus","Female","38","38.04976","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Europe","Cyprus","Both sexes","57","56.64087","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Europe","Cyprus","Male","73","73.27872","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Europe","Cyprus","Female","37","37.34529","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Europe","Cyprus","Both sexes","55","55.41083","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Europe","Czechia","Male","172","171.75520","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Europe","Czechia","Female","76","75.59827","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Europe","Czechia","Both sexes","124","124.26050","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Europe","Czechia","Male","167","166.82730","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Europe","Czechia","Female","75","75.15462","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Europe","Czechia","Both sexes","121","121.49260","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Europe","Czechia","Male","165","164.74140","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Europe","Czechia","Female","72","72.26660","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Europe","Czechia","Both sexes","119","119.04030","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Europe","Czechia","Male","167","166.62410","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Europe","Czechia","Female","74","73.91303","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Europe","Czechia","Both sexes","121","120.83020","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Europe","Czechia","Male","160","160.38940","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Europe","Czechia","Female","68","68.48966","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Europe","Czechia","Both sexes","115","115.02740","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Europe","Czechia","Male","156","155.60360","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Europe","Czechia","Female","70","69.59829","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Europe","Czechia","Both sexes","113","113.13640","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Europe","Czechia","Male","148","148.17200","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Europe","Czechia","Female","67","66.56469","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Europe","Czechia","Both sexes","108","107.87080","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Europe","Czechia","Male","146","146.35690","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Europe","Czechia","Female","65","64.60500","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Europe","Czechia","Both sexes","106","106.06250","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Europe","Czechia","Male","143","143.23930","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Europe","Czechia","Female","65","64.79933","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Europe","Czechia","Both sexes","105","104.63690","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Europe","Czechia","Male","138","138.41750","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Europe","Czechia","Female","62","62.45005","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Europe","Czechia","Both sexes","101","101.07650","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Europe","Czechia","Male","135","135.35540","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Europe","Czechia","Female","60","60.14576","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Europe","Czechia","Both sexes","98","98.47445","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Europe","Czechia","Male","132","131.60350","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Europe","Czechia","Female","59","59.34785","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Europe","Czechia","Both sexes","96","96.18898","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Europe","Czechia","Male","126","125.68040","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Europe","Czechia","Female","58","58.10354","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Europe","Czechia","Both sexes","93","92.57590","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Europe","Czechia","Male","121","120.76910","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Europe","Czechia","Female","57","56.58955","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Europe","Czechia","Both sexes","89","89.35974","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Europe","Czechia","Male","115","114.68530","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Europe","Czechia","Female","53","53.27846","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Europe","Czechia","Both sexes","85","84.65487","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Europe","Czechia","Male","112","111.77040","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Europe","Czechia","Female","53","52.74900","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Europe","Czechia","Both sexes","83","82.94957","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Europe","Czechia","Male","108","108.25490","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Europe","Czechia","Female","53","52.74702","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Europe","Czechia","Both sexes","81","81.13068","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Europe","Germany","Male","125","125.21830","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Europe","Germany","Female","64","63.53694","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Europe","Germany","Both sexes","95","95.18253","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Europe","Germany","Male","120","120.35320","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Europe","Germany","Female","62","61.68052","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Europe","Germany","Both sexes","92","91.75372","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Europe","Germany","Male","119","118.59070","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Europe","Germany","Female","61","61.05601","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Europe","Germany","Both sexes","91","90.52849","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Europe","Germany","Male","117","116.93760","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Europe","Germany","Female","60","59.97012","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Europe","Germany","Both sexes","89","89.13315","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Europe","Germany","Male","111","111.23570","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Europe","Germany","Female","58","57.69244","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Europe","Germany","Both sexes","85","85.06435","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Europe","Germany","Male","110","110.13870","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Europe","Germany","Female","57","57.36592","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Europe","Germany","Both sexes","84","84.31704","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Europe","Germany","Male","109","108.78380","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Europe","Germany","Female","57","56.70660","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Europe","Germany","Both sexes","83","83.26955","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Europe","Germany","Male","107","106.86610","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Europe","Germany","Female","56","56.24781","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Europe","Germany","Both sexes","82","82.03281","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Europe","Germany","Male","105","104.97690","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Europe","Germany","Female","56","55.59661","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Europe","Germany","Both sexes","81","80.71452","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Europe","Germany","Male","104","103.60760","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Europe","Germany","Female","55","54.73610","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Europe","Germany","Both sexes","80","79.57322","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Europe","Germany","Male","101","100.97550","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Europe","Germany","Female","53","53.30082","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Europe","Germany","Both sexes","78","77.52488","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Europe","Germany","Male","97","97.36301","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Europe","Germany","Female","53","52.63692","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Europe","Germany","Both sexes","75","75.34191","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Europe","Germany","Male","94","94.09988","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Europe","Germany","Female","51","50.71838","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Europe","Germany","Both sexes","73","72.74102","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Europe","Germany","Male","93","93.32495","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Europe","Germany","Female","51","51.27660","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Europe","Germany","Both sexes","73","72.63354","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Europe","Germany","Male","90","89.99319","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Europe","Germany","Female","49","49.17696","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Europe","Germany","Both sexes","70","69.93346","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Europe","Germany","Male","92","91.73702","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Europe","Germany","Female","50","49.87416","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Europe","Germany","Both sexes","71","71.19309","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Europe","Germany","Male","88","87.93073","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Europe","Germany","Female","49","48.71442","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Europe","Germany","Both sexes","69","68.68589","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Eastern Mediterranean","Djibouti","Male","350","349.85990","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Eastern Mediterranean","Djibouti","Female","294","293.84580","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Eastern Mediterranean","Djibouti","Both sexes","322","322.19530","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Eastern Mediterranean","Djibouti","Male","351","351.03990","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Eastern Mediterranean","Djibouti","Female","298","297.65710","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Eastern Mediterranean","Djibouti","Both sexes","325","324.64530","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Eastern Mediterranean","Djibouti","Male","352","351.62930","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Eastern Mediterranean","Djibouti","Female","301","301.02990","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Eastern Mediterranean","Djibouti","Both sexes","327","326.58340","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Eastern Mediterranean","Djibouti","Male","349","348.76270","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Eastern Mediterranean","Djibouti","Female","301","300.57640","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Eastern Mediterranean","Djibouti","Both sexes","325","324.88370","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Eastern Mediterranean","Djibouti","Male","346","346.28160","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Eastern Mediterranean","Djibouti","Female","299","299.04030","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Eastern Mediterranean","Djibouti","Both sexes","323","322.85940","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Eastern Mediterranean","Djibouti","Male","336","336.40670","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Eastern Mediterranean","Djibouti","Female","292","291.50080","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Eastern Mediterranean","Djibouti","Both sexes","314","314.11740","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Eastern Mediterranean","Djibouti","Male","330","330.29540","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Eastern Mediterranean","Djibouti","Female","285","285.34980","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Eastern Mediterranean","Djibouti","Both sexes","308","307.99660","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Eastern Mediterranean","Djibouti","Male","320","320.34410","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Eastern Mediterranean","Djibouti","Female","275","274.57060","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Eastern Mediterranean","Djibouti","Both sexes","298","297.65020","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Eastern Mediterranean","Djibouti","Male","314","314.26520","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Eastern Mediterranean","Djibouti","Female","266","266.41190","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Eastern Mediterranean","Djibouti","Both sexes","291","290.57550","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Eastern Mediterranean","Djibouti","Male","302","301.69250","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Eastern Mediterranean","Djibouti","Female","256","256.40210","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Eastern Mediterranean","Djibouti","Both sexes","279","279.24960","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Eastern Mediterranean","Djibouti","Male","294","293.57750","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Eastern Mediterranean","Djibouti","Female","249","248.62250","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Eastern Mediterranean","Djibouti","Both sexes","271","271.33250","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Eastern Mediterranean","Djibouti","Male","287","287.45520","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Eastern Mediterranean","Djibouti","Female","243","243.04050","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Eastern Mediterranean","Djibouti","Both sexes","266","265.52630","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Eastern Mediterranean","Djibouti","Male","282","281.84520","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Eastern Mediterranean","Djibouti","Female","238","237.62670","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Eastern Mediterranean","Djibouti","Both sexes","260","260.08180","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Eastern Mediterranean","Djibouti","Male","276","276.37120","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Eastern Mediterranean","Djibouti","Female","232","231.87510","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Eastern Mediterranean","Djibouti","Both sexes","255","254.54430","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Eastern Mediterranean","Djibouti","Male","280","280.29970","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Eastern Mediterranean","Djibouti","Female","230","230.26830","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Eastern Mediterranean","Djibouti","Both sexes","256","255.86670","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Eastern Mediterranean","Djibouti","Male","271","270.79680","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Eastern Mediterranean","Djibouti","Female","223","223.29700","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Eastern Mediterranean","Djibouti","Both sexes","248","247.61820","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Eastern Mediterranean","Djibouti","Male","266","266.34940","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Eastern Mediterranean","Djibouti","Female","222","221.61290","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Eastern Mediterranean","Djibouti","Both sexes","245","244.52060","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Europe","Denmark","Male","121","121.47720","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Europe","Denmark","Female","77","77.09059","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Europe","Denmark","Both sexes","100","99.82043","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Europe","Denmark","Male","120","120.32650","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Europe","Denmark","Female","78","77.69772","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Europe","Denmark","Both sexes","100","99.50231","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Europe","Denmark","Male","123","122.90640","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Europe","Denmark","Female","78","78.30764","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Europe","Denmark","Both sexes","101","101.12160","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Europe","Denmark","Male","121","120.82360","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Europe","Denmark","Female","74","74.09326","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Europe","Denmark","Both sexes","98","98.00478","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Europe","Denmark","Male","117","117.45750","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Europe","Denmark","Female","72","72.08953","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Europe","Denmark","Both sexes","95","95.28760","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Europe","Denmark","Male","110","109.68990","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Europe","Denmark","Female","68","68.43877","","",""
