"Indicator","Data Source","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Display Value","Numeric","Low","High","Comments"
"General government expenditure on health as a percentage of total government expenditure","","Published","2005","Europe","High-income","Finland","12.36","12.35778","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2006","Europe","High-income","Finland","12.76","12.76389","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2007","Europe","High-income","Finland","12.73","12.72822","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2008","Europe","High-income","Finland","12.71","12.70791","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2009","Europe","High-income","Finland","12.29","12.28902","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2010","Europe","High-income","Finland","12.08","12.07930","","",""
"General government expenditure on health as a percentage of total government expenditure","France note","Published","1995","Europe","High-income","France","14.87","14.87190","","",""
"General government expenditure on health as a percentage of total government expenditure","Micronesia (Federated States of) note","Published","2000","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","10.92","10.91983","","",""
"General government expenditure on health as a percentage of total government expenditure","Micronesia (Federated States of) note","Published","2001","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","12.46","12.46225","","",""
"General government expenditure on health as a percentage of total government expenditure","Micronesia (Federated States of) note","Published","2002","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","12.50","12.49505","","",""
"General government expenditure on health as a percentage of total government expenditure","Micronesia (Federated States of) note","Published","2003","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","13.48","13.48151","","",""
"General government expenditure on health as a percentage of total government expenditure","Micronesia (Federated States of) note","Published","2004","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","13.96","13.95904","","",""
"General government expenditure on health as a percentage of total government expenditure","Micronesia (Federated States of) note","Published","2005","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","19.08","19.08097","","",""
"General government expenditure on health as a percentage of total government expenditure","Micronesia (Federated States of) note","Published","2006","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","18.27","18.26963","","",""
"General government expenditure on health as a percentage of total government expenditure","Micronesia (Federated States of) note","Published","2007","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","18.80","18.80409","","",""
"General government expenditure on health as a percentage of total government expenditure","Micronesia (Federated States of) note","Published","2008","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","19.80","19.79572","","",""
"General government expenditure on health as a percentage of total government expenditure","Micronesia (Federated States of) note","Published","2009","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","18.92","18.92256","","",""
"General government expenditure on health as a percentage of total government expenditure","Micronesia (Federated States of) note","Published","2010","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","18.62","18.62165","","",""
"General government expenditure on health as a percentage of total government expenditure","Micronesia (Federated States of) note","Published","2011","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","19.10","19.10409","","",""
"General government expenditure on health as a percentage of total government expenditure","Micronesia (Federated States of) note","Published","2012","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","17.76","17.76102","","",""
"General government expenditure on health as a percentage of total government expenditure","Micronesia (Federated States of) note","Published","2013","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","20.40","20.39813","","",""
"General government expenditure on health as a percentage of total government expenditure","Micronesia (Federated States of) note","Published","2014","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","21.23","21.22836","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1995","Africa","Upper-middle-income","Gabon","5.21","5.20996","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1996","Africa","Upper-middle-income","Gabon","6.24","6.24437","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1997","Africa","Upper-middle-income","Gabon","3.78","3.78147","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1998","Africa","Upper-middle-income","Gabon","3.57","3.57319","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1999","Africa","Upper-middle-income","Gabon","4.47","4.47127","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2000","Africa","Upper-middle-income","Gabon","5.30","5.30079","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2001","Africa","Upper-middle-income","Gabon","4.62","4.61976","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2002","Africa","Upper-middle-income","Gabon","5.05","5.05202","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2003","Africa","Upper-middle-income","Gabon","7.02","7.02400","","",""
"General government expenditure on health as a percentage of total government expenditure","France note","Published","1996","Europe","High-income","France","14.82","14.82184","","",""
"General government expenditure on health as a percentage of total government expenditure","France note","Published","1997","Europe","High-income","France","14.73","14.73478","","",""
"General government expenditure on health as a percentage of total government expenditure","France note","Published","1998","Europe","High-income","France","14.99","14.98597","","",""
"General government expenditure on health as a percentage of total government expenditure","France note","Published","1999","Europe","High-income","France","15.04","15.04367","","",""
"General government expenditure on health as a percentage of total government expenditure","France note","Published","2000","Europe","High-income","France","15.18","15.17648","","",""
"General government expenditure on health as a percentage of total government expenditure","France note","Published","2001","Europe","High-income","France","15.32","15.32497","","",""
"General government expenditure on health as a percentage of total government expenditure","France note","Published","2002","Europe","High-income","France","15.57","15.56767","","",""
"General government expenditure on health as a percentage of total government expenditure","France note","Published","2003","Europe","High-income","France","15.40","15.39818","","",""
"General government expenditure on health as a percentage of total government expenditure","France note","Published","2004","Europe","High-income","France","15.62","15.62414","","",""
"General government expenditure on health as a percentage of total government expenditure","France note","Published","2005","Europe","High-income","France","15.63","15.63280","","",""
"General government expenditure on health as a percentage of total government expenditure","France note","Published","2006","Europe","High-income","France","15.57","15.57000","","",""
"General government expenditure on health as a percentage of total government expenditure","France note","Published","2007","Europe","High-income","France","15.54","15.54421","","",""
"General government expenditure on health as a percentage of total government expenditure","France note","Published","2008","Europe","High-income","France","15.42","15.41661","","",""
"General government expenditure on health as a percentage of total government expenditure","France note","Published","2009","Europe","High-income","France","15.41","15.40934","","",""
"General government expenditure on health as a percentage of total government expenditure","France note","Published","2010","Europe","High-income","France","15.38","15.37650","","",""
"General government expenditure on health as a percentage of total government expenditure","France note","Published","2011","Europe","High-income","France","15.61","15.61382","","",""
"General government expenditure on health as a percentage of total government expenditure","France note","Published","2012","Europe","High-income","France","15.53","15.53038","","",""
"General government expenditure on health as a percentage of total government expenditure","France note","Published","2013","Europe","High-income","France","15.62","15.62425","","",""
"General government expenditure on health as a percentage of total government expenditure","France note","Published","2014","Europe","High-income","France","15.69","15.68729","","",""
"General government expenditure on health as a percentage of total government expenditure","Micronesia (Federated States of) note","Published","1995","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","11.27","11.27001","","",""
"General government expenditure on health as a percentage of total government expenditure","Micronesia (Federated States of) note","Published","1996","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","11.30","11.29722","","",""
"General government expenditure on health as a percentage of total government expenditure","Micronesia (Federated States of) note","Published","1997","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","11.31","11.30899","","",""
"General government expenditure on health as a percentage of total government expenditure","Micronesia (Federated States of) note","Published","1998","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","8.95","8.95258","","",""
"General government expenditure on health as a percentage of total government expenditure","Micronesia (Federated States of) note","Published","1999","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","9.71","9.70978","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2004","Africa","Upper-middle-income","Gabon","7.08","7.07679","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2009","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","16.05","16.05410","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2010","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","15.93","15.92631","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2011","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","16.20","16.19537","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2012","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","16.21","16.21256","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2013","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","16.52","16.52383","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2014","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","16.52","16.52383","","",""
"General government expenditure on health as a percentage of total government expenditure","Georgia note","Published","1995","Europe","Lower-middle-income","Georgia","2.48","2.47681","","",""
"General government expenditure on health as a percentage of total government expenditure","Georgia note","Published","1996","Europe","Lower-middle-income","Georgia","4.52","4.51678","","",""
"General government expenditure on health as a percentage of total government expenditure","Georgia note","Published","1997","Europe","Lower-middle-income","Georgia","6.52","6.51807","","",""
"General government expenditure on health as a percentage of total government expenditure","Georgia note","Published","1998","Europe","Lower-middle-income","Georgia","5.89","5.89209","","",""
"General government expenditure on health as a percentage of total government expenditure","Georgia note","Published","1999","Europe","Lower-middle-income","Georgia","5.48","5.47781","","",""
"General government expenditure on health as a percentage of total government expenditure","Georgia note","Published","2000","Europe","Lower-middle-income","Georgia","6.91","6.91480","","",""
"General government expenditure on health as a percentage of total government expenditure","Georgia note","Published","2001","Europe","Lower-middle-income","Georgia","7.78","7.77650","","",""
"General government expenditure on health as a percentage of total government expenditure","Georgia note","Published","2002","Europe","Lower-middle-income","Georgia","7.77","7.77350","","",""
"General government expenditure on health as a percentage of total government expenditure","Georgia note","Published","2003","Europe","Lower-middle-income","Georgia","7.06","7.06300","","",""
"General government expenditure on health as a percentage of total government expenditure","Georgia note","Published","2004","Europe","Lower-middle-income","Georgia","5.60","5.59784","","",""
"General government expenditure on health as a percentage of total government expenditure","Georgia note","Published","2005","Europe","Lower-middle-income","Georgia","6.15","6.15010","","",""
"General government expenditure on health as a percentage of total government expenditure","Georgia note","Published","2006","Europe","Lower-middle-income","Georgia","5.88","5.87599","","",""
"General government expenditure on health as a percentage of total government expenditure","Georgia note","Published","2007","Europe","Lower-middle-income","Georgia","4.26","4.25591","","",""
"General government expenditure on health as a percentage of total government expenditure","Georgia note","Published","2008","Europe","Lower-middle-income","Georgia","4.78","4.77995","","",""
"General government expenditure on health as a percentage of total government expenditure","Georgia note","Published","2009","Europe","Lower-middle-income","Georgia","6.07","6.07108","","",""
"General government expenditure on health as a percentage of total government expenditure","Georgia note","Published","2010","Europe","Lower-middle-income","Georgia","6.55","6.55263","","",""
"General government expenditure on health as a percentage of total government expenditure","Georgia note","Published","2011","Europe","Lower-middle-income","Georgia","5.34","5.34094","","",""
"General government expenditure on health as a percentage of total government expenditure","Georgia note","Published","2012","Europe","Lower-middle-income","Georgia","3.82","3.81764","","",""
"General government expenditure on health as a percentage of total government expenditure","Georgia note","Published","2013","Europe","Lower-middle-income","Georgia","4.22","4.22121","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2005","Africa","Upper-middle-income","Gabon","5.24","5.24211","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2006","Africa","Upper-middle-income","Gabon","5.57","5.56675","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2007","Africa","Upper-middle-income","Gabon","6.53","6.53473","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2008","Africa","Upper-middle-income","Gabon","5.69","5.68565","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2009","Africa","Upper-middle-income","Gabon","6.85","6.85052","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2010","Africa","Upper-middle-income","Gabon","10.66","10.65750","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2011","Africa","Upper-middle-income","Gabon","7.78","7.77799","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2012","Africa","Upper-middle-income","Gabon","8.24","8.23642","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2013","Africa","Upper-middle-income","Gabon","10.06","10.05956","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2014","Africa","Upper-middle-income","Gabon","7.38","7.38011","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1995","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","13.05","13.04891","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1996","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","13.43","13.42890","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1997","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","13.10","13.10300","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1998","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","13.55","13.54693","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1999","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","14.28","14.28172","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2000","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","15.17","15.17367","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2001","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","14.47","14.47013","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2002","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","14.76","14.76146","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2003","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","14.85","14.84507","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2004","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","15.20","15.19895","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2005","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","15.35","15.34969","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2006","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","15.66","15.65951","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2007","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","15.69","15.68948","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2008","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","15.34","15.34144","","",""
"General government expenditure on health as a percentage of total government expenditure","Georgia note","Published","2014","Europe","Lower-middle-income","Georgia","5.00","5.00485","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1999","Africa","Low-income","Guinea","6.42","6.42162","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2000","Africa","Low-income","Guinea","6.42","6.42162","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2001","Africa","Low-income","Guinea","6.30","6.29503","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2002","Africa","Low-income","Guinea","6.61","6.61431","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2003","Africa","Low-income","Guinea","6.44","6.43897","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2004","Africa","Low-income","Guinea","4.90","4.90111","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2005","Africa","Low-income","Guinea","3.29","3.28508","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2006","Africa","Low-income","Guinea","3.50","3.49798","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2007","Africa","Low-income","Guinea","2.83","2.82765","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2008","Africa","Low-income","Guinea","4.50","4.49540","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2009","Africa","Low-income","Guinea","5.69","5.68732","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2010","Africa","Low-income","Guinea","6.78","6.77798","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2011","Africa","Low-income","Guinea","9.20","9.20473","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2012","Africa","Low-income","Guinea","8.03","8.03499","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2013","Africa","Low-income","Guinea","9.49","9.49268","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2014","Africa","Low-income","Guinea","9.00","8.99600","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1995","Africa","Low-income","Gambia","6.89","6.88745","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1996","Africa","Low-income","Gambia","6.05","6.04502","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1997","Africa","Low-income","Gambia","6.72","6.71870","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1998","Africa","Low-income","Gambia","10.39","10.39426","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1999","Africa","Low-income","Gambia","10.40","10.40186","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2000","Africa","Low-income","Gambia","10.37","10.37205","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2001","Africa","Low-income","Gambia","8.23","8.22563","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2002","Africa","Low-income","Gambia","8.66","8.66303","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2003","Africa","Low-income","Gambia","12.87","12.87075","","",""
"General government expenditure on health as a percentage of total government expenditure","Ghana note","Published","1995","Africa","Lower-middle-income","Ghana","10.84","10.83659","","",""
"General government expenditure on health as a percentage of total government expenditure","Ghana note","Published","1996","Africa","Lower-middle-income","Ghana","10.79","10.78938","","",""
"General government expenditure on health as a percentage of total government expenditure","Ghana note","Published","1997","Africa","Lower-middle-income","Ghana","10.97","10.97074","","",""
"General government expenditure on health as a percentage of total government expenditure","Ghana note","Published","1998","Africa","Lower-middle-income","Ghana","11.02","11.02027","","",""
"General government expenditure on health as a percentage of total government expenditure","Ghana note","Published","1999","Africa","Lower-middle-income","Ghana","9.90","9.89835","","",""
"General government expenditure on health as a percentage of total government expenditure","Ghana note","Published","2000","Africa","Lower-middle-income","Ghana","7.85","7.84957","","",""
"General government expenditure on health as a percentage of total government expenditure","Ghana note","Published","2001","Africa","Lower-middle-income","Ghana","9.34","9.33575","","",""
"General government expenditure on health as a percentage of total government expenditure","Ghana note","Published","2002","Africa","Lower-middle-income","Ghana","8.45","8.45067","","",""
"General government expenditure on health as a percentage of total government expenditure","Ghana note","Published","2003","Africa","Lower-middle-income","Ghana","8.33","8.33337","","",""
"General government expenditure on health as a percentage of total government expenditure","Ghana note","Published","2004","Africa","Lower-middle-income","Ghana","12.58","12.58205","","",""
"General government expenditure on health as a percentage of total government expenditure","Ghana note","Published","2005","Africa","Lower-middle-income","Ghana","15.08","15.07607","","",""
"General government expenditure on health as a percentage of total government expenditure","Ghana note","Published","2006","Africa","Lower-middle-income","Ghana","13.98","13.98461","","",""
"General government expenditure on health as a percentage of total government expenditure","Ghana note","Published","2007","Africa","Lower-middle-income","Ghana","16.16","16.15750","","",""
"General government expenditure on health as a percentage of total government expenditure","Ghana note","Published","2008","Africa","Lower-middle-income","Ghana","13.15","13.14973","","",""
"General government expenditure on health as a percentage of total government expenditure","Ghana note","Published","2009","Africa","Lower-middle-income","Ghana","16.45","16.44812","","",""
"General government expenditure on health as a percentage of total government expenditure","Ghana note","Published","2010","Africa","Lower-middle-income","Ghana","14.93","14.92779","","",""
"General government expenditure on health as a percentage of total government expenditure","Ghana note","Published","2011","Africa","Lower-middle-income","Ghana","14.03","14.02724","","",""
"General government expenditure on health as a percentage of total government expenditure","Ghana note","Published","2012","Africa","Lower-middle-income","Ghana","9.32","9.31847","","",""
"General government expenditure on health as a percentage of total government expenditure","Ghana note","Published","2013","Africa","Lower-middle-income","Ghana","10.58","10.58097","","",""
"General government expenditure on health as a percentage of total government expenditure","Ghana note","Published","2014","Africa","Lower-middle-income","Ghana","6.82","6.81969","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1995","Africa","Low-income","Guinea","7.04","7.04437","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1996","Africa","Low-income","Guinea","4.67","4.67322","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1997","Africa","Low-income","Guinea","4.30","4.30169","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1998","Africa","Low-income","Guinea","6.42","6.42162","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2004","Africa","Low-income","Gambia","11.66","11.65616","","",""
"General government expenditure on health as a percentage of total government expenditure","Guinea-Bissau note","Published","2009","Africa","Low-income","Guinea-Bissau","8.66","8.66292","","",""
"General government expenditure on health as a percentage of total government expenditure","Guinea-Bissau note","Published","2010","Africa","Low-income","Guinea-Bissau","9.08","9.07835","","",""
"General government expenditure on health as a percentage of total government expenditure","Guinea-Bissau note","Published","2011","Africa","Low-income","Guinea-Bissau","5.84","5.83548","","",""
"General government expenditure on health as a percentage of total government expenditure","Guinea-Bissau note","Published","2012","Africa","Low-income","Guinea-Bissau","10.40","10.39684","","",""
"General government expenditure on health as a percentage of total government expenditure","Guinea-Bissau note","Published","2013","Africa","Low-income","Guinea-Bissau","13.32","13.32171","","",""
"General government expenditure on health as a percentage of total government expenditure","Guinea-Bissau note","Published","2014","Africa","Low-income","Guinea-Bissau","7.79","7.78711","","",""
"General government expenditure on health as a percentage of total government expenditure","Equatorial Guinea note","Published","1995","Africa","High-income","Equatorial Guinea","15.26","15.25743","","",""
"General government expenditure on health as a percentage of total government expenditure","Equatorial Guinea note","Published","1996","Africa","High-income","Equatorial Guinea","11.68","11.67972","","",""
"General government expenditure on health as a percentage of total government expenditure","Equatorial Guinea note","Published","1997","Africa","High-income","Equatorial Guinea","12.91","12.90807","","",""
"General government expenditure on health as a percentage of total government expenditure","Equatorial Guinea note","Published","1998","Africa","High-income","Equatorial Guinea","8.66","8.65786","","",""
"General government expenditure on health as a percentage of total government expenditure","Equatorial Guinea note","Published","1999","Africa","High-income","Equatorial Guinea","8.66","8.65786","","",""
"General government expenditure on health as a percentage of total government expenditure","Equatorial Guinea note","Published","2000","Africa","High-income","Equatorial Guinea","8.66","8.65786","","",""
"General government expenditure on health as a percentage of total government expenditure","Equatorial Guinea note","Published","2001","Africa","High-income","Equatorial Guinea","8.66","8.65786","","",""
"General government expenditure on health as a percentage of total government expenditure","Equatorial Guinea note","Published","2002","Africa","High-income","Equatorial Guinea","8.66","8.65786","","",""
"General government expenditure on health as a percentage of total government expenditure","Equatorial Guinea note","Published","2003","Africa","High-income","Equatorial Guinea","8.66","8.65786","","",""
"General government expenditure on health as a percentage of total government expenditure","Equatorial Guinea note","Published","2004","Africa","High-income","Equatorial Guinea","6.50","6.49877","","",""
"General government expenditure on health as a percentage of total government expenditure","Equatorial Guinea note","Published","2005","Africa","High-income","Equatorial Guinea","6.50","6.49877","","",""
"General government expenditure on health as a percentage of total government expenditure","Equatorial Guinea note","Published","2006","Africa","High-income","Equatorial Guinea","6.50","6.49877","","",""
"General government expenditure on health as a percentage of total government expenditure","Equatorial Guinea note","Published","2007","Africa","High-income","Equatorial Guinea","6.50","6.49877","","",""
"General government expenditure on health as a percentage of total government expenditure","Equatorial Guinea note","Published","2008","Africa","High-income","Equatorial Guinea","7.05","7.05279","","",""
"General government expenditure on health as a percentage of total government expenditure","Equatorial Guinea note","Published","2009","Africa","High-income","Equatorial Guinea","6.96","6.95716","","",""
"General government expenditure on health as a percentage of total government expenditure","Equatorial Guinea note","Published","2010","Africa","High-income","Equatorial Guinea","6.96","6.95716","","",""
"General government expenditure on health as a percentage of total government expenditure","Equatorial Guinea note","Published","2011","Africa","High-income","Equatorial Guinea","6.96","6.95716","","",""
"General government expenditure on health as a percentage of total government expenditure","Equatorial Guinea note","Published","2012","Africa","High-income","Equatorial Guinea","6.96","6.95716","","",""
"General government expenditure on health as a percentage of total government expenditure","Equatorial Guinea note","Published","2013","Africa","High-income","Equatorial Guinea","6.96","6.95716","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2005","Africa","Low-income","Gambia","13.05","13.04761","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2006","Africa","Low-income","Gambia","14.17","14.16588","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2007","Africa","Low-income","Gambia","18.60","18.60344","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2008","Africa","Low-income","Gambia","18.56","18.55990","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2009","Africa","Low-income","Gambia","14.70","14.70446","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2010","Africa","Low-income","Gambia","14.55","14.54806","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2011","Africa","Low-income","Gambia","14.48","14.48222","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2012","Africa","Low-income","Gambia","12.39","12.38943","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2013","Africa","Low-income","Gambia","15.31","15.31002","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2014","Africa","Low-income","Gambia","15.31","15.31002","","",""
"General government expenditure on health as a percentage of total government expenditure","Guinea-Bissau note","Published","1995","Africa","Low-income","Guinea-Bissau","9.18","9.17830","","",""
"General government expenditure on health as a percentage of total government expenditure","Guinea-Bissau note","Published","1996","Africa","Low-income","Guinea-Bissau","6.15","6.14579","","",""
"General government expenditure on health as a percentage of total government expenditure","Guinea-Bissau note","Published","1997","Africa","Low-income","Guinea-Bissau","5.06","5.06020","","",""
"General government expenditure on health as a percentage of total government expenditure","Guinea-Bissau note","Published","1998","Africa","Low-income","Guinea-Bissau","8.90","8.90141","","",""
"General government expenditure on health as a percentage of total government expenditure","Guinea-Bissau note","Published","1999","Africa","Low-income","Guinea-Bissau","4.65","4.64623","","",""
"General government expenditure on health as a percentage of total government expenditure","Guinea-Bissau note","Published","2000","Africa","Low-income","Guinea-Bissau","2.25","2.25333","","",""
"General government expenditure on health as a percentage of total government expenditure","Guinea-Bissau note","Published","2001","Africa","Low-income","Guinea-Bissau","2.20","2.20293","","",""
"General government expenditure on health as a percentage of total government expenditure","Guinea-Bissau note","Published","2002","Africa","Low-income","Guinea-Bissau","7.67","7.67474","","",""
"General government expenditure on health as a percentage of total government expenditure","Guinea-Bissau note","Published","2003","Africa","Low-income","Guinea-Bissau","6.91","6.90590","","",""
"General government expenditure on health as a percentage of total government expenditure","Guinea-Bissau note","Published","2004","Africa","Low-income","Guinea-Bissau","3.44","3.43741","","",""
"General government expenditure on health as a percentage of total government expenditure","Guinea-Bissau note","Published","2005","Africa","Low-income","Guinea-Bissau","5.02","5.02030","","",""
"General government expenditure on health as a percentage of total government expenditure","Guinea-Bissau note","Published","2006","Africa","Low-income","Guinea-Bissau","5.14","5.14377","","",""
"General government expenditure on health as a percentage of total government expenditure","Guinea-Bissau note","Published","2007","Africa","Low-income","Guinea-Bissau","6.45","6.45399","","",""
"General government expenditure on health as a percentage of total government expenditure","Guinea-Bissau note","Published","2008","Africa","Low-income","Guinea-Bissau","4.85","4.84682","","",""
"General government expenditure on health as a percentage of total government expenditure","Equatorial Guinea note","Published","2014","Africa","High-income","Equatorial Guinea","6.96","6.95716","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1999","Americas","Upper-middle-income","Grenada","11.76","11.76471","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2000","Americas","Upper-middle-income","Grenada","13.22","13.22404","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2001","Americas","Upper-middle-income","Grenada","15.06","15.06413","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2002","Americas","Upper-middle-income","Grenada","9.70","9.70189","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2003","Americas","Upper-middle-income","Grenada","10.35","10.35058","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2004","Americas","Upper-middle-income","Grenada","10.73","10.73338","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2005","Americas","Upper-middle-income","Grenada","10.77","10.76680","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2006","Americas","Upper-middle-income","Grenada","9.79","9.79066","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2007","Americas","Upper-middle-income","Grenada","10.30","10.30361","","",""
